measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,World Bank Low Income,Male,All ages,All causes,All risk factors,Number,2000,1716788.448715801,1879509.6332904398,1554629.811864901
Deaths,World Bank Low Income,Female,All ages,All causes,All risk factors,Number,2000,1575340.6422162123,1739150.9772135918,1411155.4010156079
Deaths,World Bank Low Income,Both,All ages,All causes,All risk factors,Number,2000,3292129.0909320135,3614757.6144065415,2970637.0272197975
Deaths,World Bank Low Income,Male,All ages,All causes,All risk factors,Percent,2000,0.5698659098515085,0.6004681181161956,0.5310349063987183
Deaths,World Bank Low Income,Female,All ages,All causes,All risk factors,Percent,2000,0.5839992230240918,0.6206398754889484,0.5400655042982784
Deaths,World Bank Low Income,Both,All ages,All causes,All risk factors,Percent,2000,0.5765480377674543,0.6081988777160038,0.5388569328314711
Deaths,World Bank Low Income,Male,All ages,All causes,All risk factors,Rate,2000,802.9847846715616,879.0935419589887,727.1391449879109
Deaths,World Bank Low Income,Female,All ages,All causes,All risk factors,Rate,2000,720.4240286047507,795.3366527721073,645.3399548917913
Deaths,World Bank Low Income,Both,All ages,All causes,All risk factors,Rate,2000,761.2397750775048,835.8412435678565,686.9010904422046
Deaths,World Bank Low Income,Male,0-14 years,All causes,All risk factors,Number,2000,829087.0198382001,929388.490874963,720811.9570092626
Deaths,World Bank Low Income,Female,0-14 years,All causes,All risk factors,Number,2000,674882.1972524506,767458.2438394595,582506.6649183461
Deaths,World Bank Low Income,Both,0-14 years,All causes,All risk factors,Number,2000,1503969.2170906512,1690638.1442854637,1303040.1874172408
Deaths,World Bank Low Income,Male,0-14 years,All causes,All risk factors,Percent,2000,0.5477656839965134,0.5972616803175242,0.4826862447433779
Deaths,World Bank Low Income,Female,0-14 years,All causes,All risk factors,Percent,2000,0.5185344577481805,0.5756225768724292,0.4568158275882803
Deaths,World Bank Low Income,Both,0-14 years,All causes,All risk factors,Percent,2000,0.5342470248620022,0.5851379097435239,0.4748938688425006
Deaths,World Bank Low Income,Male,0-14 years,All causes,All risk factors,Rate,2000,833.2906577416414,934.1006774051865,724.4666185722064
Deaths,World Bank Low Income,Female,0-14 years,All causes,All risk factors,Rate,2000,695.6004391528628,791.0184823656265,600.3890657899553
Deaths,World Bank Low Income,Both,0-14 years,All causes,All risk factors,Rate,2000,765.312258101123,860.300916489446,663.0671804293269
Deaths,World Bank Low Income,Male,55+ years,All causes,All risk factors,Number,2000,498556.78379915986,542888.9094477904,463534.59452964424
Deaths,World Bank Low Income,Female,55+ years,All causes,All risk factors,Number,2000,443035.5947880595,494175.12505451124,402559.2524645135
Deaths,World Bank Low Income,Both,55+ years,All causes,All risk factors,Number,2000,941592.3785872175,1033887.2820269841,871247.8935620444
Deaths,World Bank Low Income,Male,55+ years,All causes,All risk factors,Percent,2000,0.6281928165316213,0.6603310080855668,0.6004060075234845
Deaths,World Bank Low Income,Female,55+ years,All causes,All risk factors,Percent,2000,0.6411447172476633,0.6804075554983552,0.6029752594184402
Deaths,World Bank Low Income,Both,55+ years,All causes,All risk factors,Percent,2000,0.6342264219653557,0.6646117857578631,0.6034063065046303
Deaths,World Bank Low Income,Male,55+ years,All causes,All risk factors,Rate,2000,1992.0823309214245,2169.2201155562066,1852.1442402142013
Deaths,World Bank Low Income,Female,55+ years,All causes,All risk factors,Rate,2000,1546.825386139018,1725.375201508178,1405.5052877526477
Deaths,World Bank Low Income,Both,55+ years,All causes,All risk factors,Rate,2000,1754.4593658583417,1926.4315073532084,1623.3872125619507
Deaths,World Bank High Income,Male,55+ years,All causes,All risk factors,Number,2000,2513185.6551194447,2586327.870663121,2439296.2755136886
Deaths,World Bank High Income,Female,55+ years,All causes,All risk factors,Number,2000,2435747.287437159,2563763.8347985363,2271281.10977516
Deaths,World Bank High Income,Both,55+ years,All causes,All risk factors,Number,2000,4948932.942556604,5143872.769243558,4719427.864276537
Deaths,World Bank High Income,Male,55+ years,All causes,All risk factors,Percent,2000,0.6710990184498856,0.6904235497749516,0.6514385038989027
Deaths,World Bank High Income,Female,55+ years,All causes,All risk factors,Percent,2000,0.6076292202859201,0.6399345744852644,0.566573422102415
Deaths,World Bank High Income,Both,55+ years,All causes,All risk factors,Percent,2000,0.638284764065476,0.6633493360537372,0.6084334063806449
Deaths,World Bank High Income,Male,55+ years,All causes,All risk factors,Rate,2000,1133.7160760907057,1166.7110541711518,1100.3840469424522
Deaths,World Bank High Income,Female,55+ years,All causes,All risk factors,Rate,2000,783.138455488815,824.2981774742129,730.2594934476066
Deaths,World Bank High Income,Both,55+ years,All causes,All risk factors,Rate,2000,929.0270125705694,965.6216415380915,885.9437015378363
Deaths,Lebanon,Male,15-19 years,All causes,All risk factors,Number,2000,15.423752552279389,21.13569757163648,10.992500054503752
Deaths,Lebanon,Female,15-19 years,All causes,All risk factors,Number,2000,7.8452117347358215,10.593953844294441,5.687106821279661
Deaths,Lebanon,Both,15-19 years,All causes,All risk factors,Number,2000,23.268964287015198,29.669986064511306,17.882492467564063
Deaths,Lebanon,Male,15-19 years,All causes,All risk factors,Percent,2000,0.10424611493541601,0.14285939698023084,0.07215022530755531
Deaths,Lebanon,Female,15-19 years,All causes,All risk factors,Percent,2000,0.12104048896320338,0.15367473446409902,0.09394422498827573
Deaths,Lebanon,Both,15-19 years,All causes,All risk factors,Percent,2000,0.10936125785301412,0.13861473599150675,0.08596141113488823
Deaths,Lebanon,Male,15-19 years,All causes,All risk factors,Rate,2000,8.228423517594138,11.27569120223659,5.86439296526877
Deaths,Lebanon,Female,15-19 years,All causes,All risk factors,Rate,2000,4.723663535675189,6.378702725300608,3.4242516357110153
Deaths,Lebanon,Both,15-19 years,All causes,All risk factors,Rate,2000,6.581929465996668,8.39254180482339,5.058295790303155
Deaths,World Bank High Income,Male,15-19 years,All causes,All risk factors,Number,2000,3407.03064614018,4106.934735260255,2733.0711993830582
Deaths,World Bank High Income,Female,15-19 years,All causes,All risk factors,Number,2000,1170.4623886722297,1408.8539343589478,942.644521892492
Deaths,World Bank High Income,Both,15-19 years,All causes,All risk factors,Number,2000,4577.49303481241,5483.246509071173,3706.7134883396875
Deaths,World Bank High Income,Male,15-19 years,All causes,All risk factors,Percent,2000,0.12320437216943982,0.14874723643021637,0.0990585302917556
Deaths,World Bank High Income,Female,15-19 years,All causes,All risk factors,Percent,2000,0.10380733884101584,0.12514099230307837,0.0835050141617174
